"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"boroughMu[1] Allerton",-0.170600379411665,-0.1685735,-0.17112936146963,2030.7,0.95,-0.554655,0.213822,NA,NA,NA,NA,NA,NA,NA
"boroughMu[2] Arrochar",0.0261698217829366,0.0257469,0.0249491647971261,1957.9,0.95,-0.34697,0.410302,NA,NA,NA,NA,NA,NA,NA
"boroughMu[3] Arverne",0.409655447905961,0.406441,0.399184811944474,1987.7,0.95,0.0403153,0.799605,NA,NA,NA,NA,NA,NA,NA
"boroughMu[4] Astoria",-0.0901483227997701,-0.08960305,-0.0849567610162856,1939.6,0.95,-0.464676,0.293747,NA,NA,NA,NA,NA,NA,NA
"boroughMu[5] Bath Beach",-0.181620745155327,-0.178069,-0.171755571996109,2153.1,0.95,-0.574898,0.210241,NA,NA,NA,NA,NA,NA,NA
"b0",4.16250885860913,4.16251,4.16283272602317,508900.9,0.95,4.1253,4.19909,NA,NA,NA,NA,NA,NA,NA
"b[1] Allerton",-0.228988744951905,-0.229643,-0.231605873162571,996846.6,0.95,-0.454265,-0.00245674,NA,NA,NA,NA,NA,NA,NA
"b[2] Arrochar",-0.305715282658883,-0.307019,-0.315034765043872,985732.4,0.95,-0.691412,0.0896831,NA,NA,NA,NA,NA,NA,NA
"b[3] Arverne",0.17316818262811,0.173874,0.175909751134641,993170.5,0.95,-0.00636303,0.350972,NA,NA,NA,NA,NA,NA,NA
"b[4] Astoria",-0.0478765615409588,-0.04783915,-0.0489604650828173,830398.5,0.95,-0.122747,0.0265506,NA,NA,NA,NA,NA,NA,NA
"b[5] Bath Beach",0.0357584712637196,0.0358323,0.0368994621777803,1000008,0.95,-0.250297,0.324759,NA,NA,NA,NA,NA,NA,NA
"b[6] Battery Park City",0.605751828426373,0.606019,0.610464067151378,996953.3,0.95,0.420808,0.791791,NA,NA,NA,NA,NA,NA,NA
"b[7] Bay Ridge",-0.0631156552348959,-0.06377475,-0.0633519987756993,989348.8,0.95,-0.233408,0.111274,NA,NA,NA,NA,NA,NA,NA
"b[8] Bay Terrace",-0.198961973024545,-0.200968,-0.205389406166186,1000008,0.95,-0.559977,0.168779,NA,NA,NA,NA,NA,NA,NA
"b[9] Bay Terrace, Staten Island",-0.232854961066633,-0.2348065,-0.238386215103492,974443,0.95,-0.645699,0.185688,NA,NA,NA,NA,NA,NA,NA
"b[10] Baychester",-0.152006963658878,-0.151796,-0.15925273692239,995297.5,0.95,-0.505,0.207467,NA,NA,NA,NA,NA,NA,NA
"b[11] Bayside",0.105483865078132,0.107834,0.10812432883372,1000008,0.95,-0.167824,0.373089,NA,NA,NA,NA,NA,NA,NA
"b[12] Bayswater",-0.0867815597369353,-0.0872812,-0.0960617878563241,997129,0.95,-0.54479,0.370562,NA,NA,NA,NA,NA,NA,NA
"b[13] Bedford-Stuyvesant",-0.099332786124166,-0.09929405,-0.0982638534830604,648544.3,0.95,-0.147029,-0.0522892,NA,NA,NA,NA,NA,NA,NA
"b[14] Bellerose",-0.0547424828440384,-0.0536037,-0.0451885885982075,1000008,0.95,-0.459094,0.348935,NA,NA,NA,NA,NA,NA,NA
"b[15] Bensonhurst",-0.235043312963029,-0.235193,-0.242797549075967,991908.6,0.95,-0.410846,-0.0604356,NA,NA,NA,NA,NA,NA,NA
"b[16] Bergen Beach",0.0370354722929368,0.03726065,0.0317715008042754,1000008,0.95,-0.311139,0.39219,NA,NA,NA,NA,NA,NA,NA
"b[17] Boerum Hill",0.275102968725256,0.275257,0.276425258967079,1000008,0.95,0.15969,0.390561,NA,NA,NA,NA,NA,NA,NA
