"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"boroughMu[1] Allerton",-0.253671640604724,-0.25856,-0.262048461008128,2111.2,0.95,-0.512217,0.0035442,NA,NA,NA,NA,NA,NA,NA
"boroughMu[2] Arden Heights",0.0694023031085226,0.0640579,0.0591869029256862,2035.9,0.95,-0.187153,0.321683,NA,NA,NA,NA,NA,NA,NA
"boroughMu[3] Arrochar",0.476457930285468,0.465898,0.455884310968084,2099.3,0.95,0.225319,0.739356,NA,NA,NA,NA,NA,NA,NA
"boroughMu[4] Arverne",-0.125061905568338,-0.1294645,-0.126950555400339,2062.7,0.95,-0.384372,0.125787,NA,NA,NA,NA,NA,NA,NA
"boroughMu[5] Astoria",-0.121503713656922,-0.123415,-0.120578514362564,2257.8,0.95,-0.393884,0.134512,NA,NA,NA,NA,NA,NA,NA
"b0",3.89559229284166,3.89561,3.89559048183362,435684,0.95,3.86464,3.92602,NA,NA,NA,NA,NA,NA,NA
"b[1] Allerton",-0.212677088429443,-0.212804,-0.217285490275545,1005998.3,0.95,-0.418319,-0.00772901,NA,NA,NA,NA,NA,NA,NA
"b[2] Arden Heights",-0.0630638427355772,-0.061429,-0.0526465836487164,990233.6,0.95,-0.496322,0.369262,NA,NA,NA,NA,NA,NA,NA
"b[3] Arrochar",-0.129767808821734,-0.129491,-0.120485729569186,996300.4,0.95,-0.46761,0.203644,NA,NA,NA,NA,NA,NA,NA
"b[4] Arverne",0.185857213390075,0.186301,0.189787767717814,1001768.9,0.95,0.023162,0.346434,NA,NA,NA,NA,NA,NA,NA
"b[5] Astoria",-0.0246933112579147,-0.02470845,-0.0271000851987752,788604.3,0.95,-0.0852735,0.0348533,NA,NA,NA,NA,NA,NA,NA
"b[6] Bath Beach",0.0386428343851109,0.0388893,0.0410324271069683,1000008,0.95,-0.25155,0.328848,NA,NA,NA,NA,NA,NA,NA
"b[7] Battery Park City",0.710188210445316,0.710603,0.714608596673679,1000008,0.95,0.523905,0.894699,NA,NA,NA,NA,NA,NA,NA
"b[8] Bay Ridge",-0.000690501290266609,-0.00117704,0.0049672308511774,1000008,0.95,-0.172881,0.17024,NA,NA,NA,NA,NA,NA,NA
"b[9] Bay Terrace",-0.0717889881051042,-0.0708456,-0.0705992558952767,1000008,0.95,-0.399645,0.249112,NA,NA,NA,NA,NA,NA,NA
"b[10] Bay Terrace, Staten Island",-0.157079710422299,-0.158447,-0.159358985529254,986619.5,0.95,-0.591422,0.272967,NA,NA,NA,NA,NA,NA,NA
"b[11] Baychester",-0.150295878268157,-0.149239,-0.152425459257725,1000008,0.95,-0.467409,0.164468,NA,NA,NA,NA,NA,NA,NA
"b[12] Bayside",-0.180288333679248,-0.1801745,-0.184175312810065,994607,0.95,-0.468886,0.111301,NA,NA,NA,NA,NA,NA,NA
"b[13] Bayswater",-0.0971337651034189,-0.09856225,-0.0933686094633244,1000008,0.95,-0.576634,0.377581,NA,NA,NA,NA,NA,NA,NA
"b[14] Bedford-Stuyvesant",-0.0632068052079317,-0.06322015,-0.0637943306499932,546190.8,0.95,-0.101276,-0.0260064,NA,NA,NA,NA,NA,NA,NA
"b[15] Belle Harbor",0.0521671018907602,0.0551757,0.0727280129089791,1000008,0.95,-0.405851,0.510396,NA,NA,NA,NA,NA,NA,NA
"b[16] Bellerose",-0.0555729745227011,-0.0545009,-0.0506886558621726,1000008,0.95,-0.439025,0.326676,NA,NA,NA,NA,NA,NA,NA
"b[17] Belmont",-0.57767478309293,-0.582743,-0.593067788527549,1000008,0.95,-0.944757,-0.199381,NA,NA,NA,NA,NA,NA,NA
"b[18] Bensonhurst",-0.218870809050146,-0.2188235,-0.220287045832281,1000008,0.95,-0.375619,-0.0637572,NA,NA,NA,NA,NA,NA,NA
"b[19] Bergen Beach",0.131073513231618,0.132038,0.122422911998499,1000008,0.95,-0.243801,0.50521,NA,NA,NA,NA,NA,NA,NA
"b[20] Boerum Hill",0.415197736328109,0.415392,0.413185513415621,992656.1,0.95,0.301916,0.528413,NA,NA,NA,NA,NA,NA,NA
"b[21] Borough Park",-0.384798909323325,-0.38579,-0.387807914523549,972473.6,0.95,-0.513827,-0.255158,NA,NA,NA,NA,NA,NA,NA
"b[22] Briarwood",-0.110457391106872,-0.1101715,-0.111030506797826,1000008,0.95,-0.318347,0.0937937,NA,NA,NA,NA,NA,NA,NA
"b[23] Brighton Beach",0.188252271035792,0.188527,0.190208186242611,1000008,0.95,-0.0319461,0.41099,NA,NA,NA,NA,NA,NA,NA
"b[24] Bronxdale",-0.440380400662012,-0.441897,-0.436229503435174,1000008,0.95,-0.680308,-0.193966,NA,NA,NA,NA,NA,NA,NA
"b[25] Brooklyn Heights",0.537366654018768,0.538112,0.54173267506957,1000008,0.95,0.406779,0.667752,NA,NA,NA,NA,NA,NA,NA
"b[26] Brownsville",-0.204655610377562,-0.205138,-0.205278618175414,1000008,0.95,-0.35325,-0.0568471,NA,NA,NA,NA,NA,NA,NA
"b[27] Bushwick",-0.247812967173263,-0.24783,-0.247463109894415,585335.2,0.95,-0.287921,-0.207657,NA,NA,NA,NA,NA,NA,NA
"b[28] Cambria Heights",-0.0741091448067707,-0.0740158,-0.0720629646936344,1000008,0.95,-0.34051,0.195389,NA,NA,NA,NA,NA,NA,NA
"b[29] Canarsie",-0.0582947979652473,-0.05835005,-0.0623774309829073,1000008,0.95,-0.171494,0.0560059,NA,NA,NA,NA,NA,NA,NA
"b[30] Carroll Gardens",0.398536787682699,0.39864,0.398262973531491,884465,0.95,0.314478,0.482281,NA,NA,NA,NA,NA,NA,NA
