"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",3.9259189629783,3.92593,3.92604487328946,352213.6,0.95,3.8955,3.95594,NA,NA,NA,NA,NA,NA,NA
"b[1] Allerton",-0.214351198136235,-0.2149,-0.21669966568673,1000008,0.95,-0.427394,0.00408983,NA,NA,NA,NA,NA,NA,NA
"b[2] Arden Heights",0.0126910559176142,0.0132756,0.0127378407479148,989095.3,0.95,-0.534143,0.550913,NA,NA,NA,NA,NA,NA,NA
"b[3] Arrochar",-0.124986808024794,-0.12532,-0.125646811122545,1000008,0.95,-0.506666,0.258111,NA,NA,NA,NA,NA,NA,NA
"b[4] Arverne",0.181975229092795,0.182124,0.183669117406357,987930.1,0.95,0.0160019,0.346988,NA,NA,NA,NA,NA,NA,NA
"b[5] Astoria",-0.0524262576274788,-0.0524666,-0.0529449766850487,693857.8,0.95,-0.112535,0.00771517,NA,NA,NA,NA,NA,NA,NA
"b[6] Bath Beach",-0.0100270174749904,-0.00943076,-0.012226593761863,1000008,0.95,-0.3353,0.304411,NA,NA,NA,NA,NA,NA,NA
"b[7] Battery Park City",0.665228361962104,0.665769,0.665539930742367,995637.2,0.95,0.473037,0.858309,NA,NA,NA,NA,NA,NA,NA
"b[8] Bay Ridge",-0.0378264753817057,-0.0383337,-0.0391478805877911,981299.2,0.95,-0.212635,0.140018,NA,NA,NA,NA,NA,NA,NA
"b[9] Bay Terrace",-0.0512075000338222,-0.0507142,-0.0498350150874374,1000008,0.95,-0.420622,0.313186,NA,NA,NA,NA,NA,NA,NA
"b[10] Bay Terrace, Staten Island",-0.129552724201041,-0.13441,-0.138079202613872,996202.4,0.95,-0.680329,0.421689,NA,NA,NA,NA,NA,NA,NA
"b[11] Baychester",-0.0906702731229445,-0.0915499,-0.101393062612086,1000008,0.95,-0.444353,0.265564,NA,NA,NA,NA,NA,NA,NA
"b[12] Bayside",-0.194335271926129,-0.194303,-0.201353303949892,1000008,0.95,-0.509369,0.126952,NA,NA,NA,NA,NA,NA,NA
"b[13] Bayswater",0.00516403272527961,0.004535235,-0.00188392635054901,958455.9,0.95,-0.633274,0.640704,NA,NA,NA,NA,NA,NA,NA
"b[14] Bedford-Stuyvesant",-0.0925175022053024,-0.09252305,-0.0915824553879596,444886.4,0.95,-0.12975,-0.0550978,NA,NA,NA,NA,NA,NA,NA
"b[15] Belle Harbor",0.222927306315519,0.230448,0.237314792657453,1000008,0.95,-0.353115,0.783019,NA,NA,NA,NA,NA,NA,NA
"b[16] Bellerose",-0.00300898378615822,-0.00318499,0.0042541451748237,983523.3,0.95,-0.459262,0.458937,NA,NA,NA,NA,NA,NA,NA
"b[17] Belmont",-0.630858851353603,-0.640263,-0.663498202961505,1000008,0.95,-1.05526,-0.184642,NA,NA,NA,NA,NA,NA,NA
"b[18] Bensonhurst",-0.266050960552108,-0.2658845,-0.265638680490317,982433,0.95,-0.425983,-0.10633,NA,NA,NA,NA,NA,NA,NA
"b[19] Bergen Beach",0.101159066642127,0.103571,0.116775786475258,1000008,0.95,-0.348674,0.546802,NA,NA,NA,NA,NA,NA,NA
"b[20] Boerum Hill",0.393981683317233,0.39422,0.396687197940108,928857.5,0.95,0.279758,0.508152,NA,NA,NA,NA,NA,NA,NA
"b[21] Borough Park",-0.431993037238702,-0.432799,-0.431424773568069,921528.3,0.95,-0.561164,-0.302585,NA,NA,NA,NA,NA,NA,NA
"b[22] Briarwood",-0.126333862144373,-0.126244,-0.126014960928093,1000008,0.95,-0.341432,0.0914319,NA,NA,NA,NA,NA,NA,NA
"b[23] Brighton Beach",0.165413036079355,0.165673,0.158228894720274,1000008,0.95,-0.0683989,0.399283,NA,NA,NA,NA,NA,NA,NA
"b[24] Bronxdale",-0.461125479656282,-0.463413,-0.455456100410053,1000008,0.95,-0.717716,-0.196555,NA,NA,NA,NA,NA,NA,NA
"b[25] Brooklyn Heights",0.522981899481804,0.523491,0.523026934234626,932425.2,0.95,0.390167,0.653842,NA,NA,NA,NA,NA,NA,NA
"b[26] Brownsville",-0.249525456239923,-0.249865,-0.247400866941279,976236.4,0.95,-0.400548,-0.0991015,NA,NA,NA,NA,NA,NA,NA
"b[27] Bushwick",-0.277750213059296,-0.277757,-0.27697541198747,480715.9,0.95,-0.317959,-0.238164,NA,NA,NA,NA,NA,NA,NA
"b[28] Cambria Heights",-0.0725651815052485,-0.0729381,-0.0720151479883501,1000008,0.95,-0.361789,0.218447,NA,NA,NA,NA,NA,NA,NA
"b[29] Canarsie",-0.0922187546449367,-0.09216035,-0.0918126618273059,932061.2,0.95,-0.206412,0.0230914,NA,NA,NA,NA,NA,NA,NA
"b[30] Carroll Gardens",0.373544852621179,0.373671,0.375411600780793,832788.8,0.95,0.289558,0.458099,NA,NA,NA,NA,NA,NA,NA
"b[31] Castleton Corners",-0.304366790253298,-0.302946,-0.316655485104369,960113.9,0.95,-0.871219,0.248884,NA,NA,NA,NA,NA,NA,NA
"b[32] Chelsea",0.775590212240302,0.775617,0.775423984822586,720291.2,0.95,0.709939,0.841894,NA,NA,NA,NA,NA,NA,NA
"b[33] Chinatown",0.38476996879725,0.38467,0.384133436388116,849960.5,0.95,0.297001,0.473064,NA,NA,NA,NA,NA,NA,NA
"b[34] City Island",0.0236297400571416,0.0236965,0.0155084439485258,1003177.6,0.95,-0.335566,0.386262,NA,NA,NA,NA,NA,NA,NA
"b[35] Civic Center",0.328464177250051,0.3285295,0.327816853712832,1000008,0.95,0.0694962,0.589674,NA,NA,NA,NA,NA,NA,NA
"b[36] Claremont Village",-0.281956115675058,-0.282777,-0.283792744146978,1000008,0.95,-0.563285,0.00214213,NA,NA,NA,NA,NA,NA,NA
"b[37] Clason Point",-0.0952511216731543,-0.0944994,-0.0909038638416609,996716.5,0.95,-0.338799,0.14674,NA,NA,NA,NA,NA,NA,NA
"b[38] Clifton",-0.325539303149127,-0.3289515,-0.334542317285301,1000008,0.95,-0.680646,0.0325434,NA,NA,NA,NA,NA,NA,NA
"b[39] Clinton Hill",0.25234800121819,0.252414,0.253728200333046,755383.5,0.95,0.181938,0.324244,NA,NA,NA,NA,NA,NA,NA
"b[40] Cobble Hill",0.461438889862581,0.462079,0.46382519682627,956646,0.95,0.309346,0.61213,NA,NA,NA,NA,NA,NA,NA
"b[41] College Point",-0.124330485141863,-0.1260945,-0.125740065000934,1000008,0.95,-0.42511,0.184327,NA,NA,NA,NA,NA,NA,NA
"b[42] Columbia St",0.260664978993555,0.261408,0.265812177743677,1000008,0.95,0.0476538,0.47305,NA,NA,NA,NA,NA,NA,NA
"b[43] Concord",0.0547447497038268,0.0550857,0.0634869540308602,994233.2,0.95,-0.348814,0.451582,NA,NA,NA,NA,NA,NA,NA
"b[44] Concourse",-0.224558277064722,-0.224796,-0.224277895924269,1000008,0.95,-0.418152,-0.0304374,NA,NA,NA,NA,NA,NA,NA
"b[45] Concourse Village",-0.201309277313025,-0.20117,-0.20233094075947,1000008,0.95,-0.487228,0.0848802,NA,NA,NA,NA,NA,NA,NA
"b[46] Coney Island",0.230121088197386,0.232569,0.225012026507825,1000008,0.95,-0.113223,0.569647,NA,NA,NA,NA,NA,NA,NA
"b[47] Corona",-0.446799847844204,-0.448759,-0.44616047215827,1000008,0.95,-0.689951,-0.202229,NA,NA,NA,NA,NA,NA,NA
"b[48] Crown Heights",-0.0456973648488594,-0.04570365,-0.0467640512049786,559338.4,0.95,-0.0921783,0.00127072,NA,NA,NA,NA,NA,NA,NA
"b[49] Cypress Hills",-0.396187856591447,-0.396814,-0.400635874402206,950666,0.95,-0.527307,-0.26151,NA,NA,NA,NA,NA,NA,NA
"b[50] Ditmars Steinway",-0.0809986363830469,-0.0809636,-0.0817142168774864,867402,0.95,-0.17412,0.0135614,NA,NA,NA,NA,NA,NA,NA
"b[51] Douglaston",0.18359230961469,0.1899465,0.192643655453991,992951.2,0.95,-0.383307,0.734142,NA,NA,NA,NA,NA,NA,NA
"b[52] Downtown Brooklyn",0.331161658763496,0.331746,0.332269288790474,996375.2,0.95,0.146105,0.513438,NA,NA,NA,NA,NA,NA,NA
"b[53] DUMBO",0.27656900282671,0.2769395,0.27929341403103,987839.4,0.95,0.0612494,0.492715,NA,NA,NA,NA,NA,NA,NA
"b[54] Dyker Heights",-0.146828549091728,-0.14899,-0.153279188277992,1004109.6,0.95,-0.571881,0.289393,NA,NA,NA,NA,NA,NA,NA
"b[55] East Elmhurst",-0.262930675795905,-0.263364,-0.263524689110703,923739.4,0.95,-0.37771,-0.147711,NA,NA,NA,NA,NA,NA,NA
"b[56] East Flatbush",-0.235661843568551,-0.235636,-0.234959381067401,802086.7,0.95,-0.311644,-0.158355,NA,NA,NA,NA,NA,NA,NA
"b[57] East Harlem",0.121333041264417,0.12135,0.120863028098858,676805.9,0.95,0.0633717,0.17864,NA,NA,NA,NA,NA,NA,NA
"b[58] East New York",-0.286784363415093,-0.286827,-0.285934904974484,917307.9,0.95,-0.391811,-0.179329,NA,NA,NA,NA,NA,NA,NA
"b[59] East Village",0.493068526783786,0.493061,0.493179979999493,567029.5,0.95,0.446579,0.539071,NA,NA,NA,NA,NA,NA,NA
"b[60] Eastchester",0.153604209641529,0.155009,0.160504270217833,1000008,0.95,-0.162696,0.463167,NA,NA,NA,NA,NA,NA,NA
"b[61] Edenwald",-0.0378208195268193,-0.03851245,-0.0357958756318554,997747.2,0.95,-0.292589,0.218829,NA,NA,NA,NA,NA,NA,NA
"b[62] Edgemere",0.335806983921645,0.3381455,0.339891814201985,1000008,0.95,-0.0656841,0.729329,NA,NA,NA,NA,NA,NA,NA
"b[63] Elmhurst",-0.365682516774166,-0.3659485,-0.363287145420028,939041.5,0.95,-0.481035,-0.249389,NA,NA,NA,NA,NA,NA,NA
"b[64] Eltingville",0.0568571605148795,0.05163,0.0346957002565569,979029.8,0.95,-0.427295,0.549011,NA,NA,NA,NA,NA,NA,NA
"b[65] Emerson Hill",-0.146818343219855,-0.1495105,-0.152531161417877,1000008,0.95,-0.610506,0.324198,NA,NA,NA,NA,NA,NA,NA
"b[66] Far Rockaway",0.0237262295551488,0.0202065,0.0233557845004471,1000008,0.95,-0.409736,0.468501,NA,NA,NA,NA,NA,NA,NA
"b[67] Fieldston",0.0181125666573264,0.0184999,0.0201239819388426,1000008,0.95,-0.415517,0.454316,NA,NA,NA,NA,NA,NA,NA
"b[68] Financial District",0.488622368636051,0.488671,0.490282762105425,908786.1,0.95,0.375002,0.603717,NA,NA,NA,NA,NA,NA,NA
"b[69] Flatbush",-0.181834902276782,-0.181781,-0.180278167325014,735000.8,0.95,-0.246408,-0.116582,NA,NA,NA,NA,NA,NA,NA
"b[70] Flatiron District",0.720509371777026,0.721052,0.72447642024292,998455.1,0.95,0.533294,0.909231,NA,NA,NA,NA,NA,NA,NA
"b[71] Flatlands",-0.397075765885262,-0.397752,-0.402521597622227,1000008,0.95,-0.579017,-0.216295,NA,NA,NA,NA,NA,NA,NA
"b[72] Flushing",-0.209578180442556,-0.209637,-0.207471939496076,799606,0.95,-0.287369,-0.131618,NA,NA,NA,NA,NA,NA,NA
