"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"boroughMu[1] 07093",-0.25310402467342,-0.2527515,-0.253872766118328,982.7,0.95,-0.710865,0.207603,NA,NA,NA,NA,NA,NA,NA
"boroughMu[2] 07601",-0.000796237882340786,-0.00229379,0.00175515454409458,964.2,0.95,-0.458332,0.453888,NA,NA,NA,NA,NA,NA,NA
"boroughMu[3] 10001",0.518840092553105,0.515573,0.514396600743466,946.5,0.95,0.0662074,0.975659,NA,NA,NA,NA,NA,NA,NA
"boroughMu[4] 10002",-0.128198745907514,-0.129387,-0.125439165623773,945.5,0.95,-0.580413,0.329552,NA,NA,NA,NA,NA,NA,NA
"boroughMu[5] 10003",-0.113977403618636,-0.113606,-0.108509173305275,1084.6,0.95,-0.589157,0.357055,NA,NA,NA,NA,NA,NA,NA
"b0",3.9617450375797,3.96174,3.96207377421909,833798,0.95,3.93514,3.98833,NA,NA,NA,NA,NA,NA,NA
"b[1] 07093",0.528178888384669,0.526883,0.513033795677354,1000008,0.95,0.0969801,0.957984,NA,NA,NA,NA,NA,NA,NA
"b[2] 07601",0.512018206464625,0.514235,0.535237162156798,1000008,0.95,0.0798384,0.938074,NA,NA,NA,NA,NA,NA,NA
"b[3] 10001",0.636415143870849,0.636513,0.634818157389353,1000008,0.95,0.540479,0.733577,NA,NA,NA,NA,NA,NA,NA
"b[4] 10002",0.390086804838561,0.390058,0.390420174692701,1005703.9,0.95,0.334943,0.445053,NA,NA,NA,NA,NA,NA,NA
"b[5] 10003",0.568993862382101,0.568952,0.569142458010051,995604.5,0.95,0.508316,0.629114,NA,NA,NA,NA,NA,NA,NA
"b[6] 10004",0.480238299674209,0.479862,0.484436309628382,1000008,0.95,0.249691,0.710119,NA,NA,NA,NA,NA,NA,NA
"b[7] 10005",0.489286152637419,0.489612,0.490216085793416,988015.7,0.95,0.296438,0.682337,NA,NA,NA,NA,NA,NA,NA
"b[8] 10006",0.612442979694162,0.611931,0.610914478585244,1000008,0.95,0.388041,0.840969,NA,NA,NA,NA,NA,NA,NA
"b[9] 10007",0.607730808680531,0.607728,0.612281509085758,1000008,0.95,0.396039,0.817749,NA,NA,NA,NA,NA,NA,NA
"b[10] 10009",0.377263770829833,0.377232,0.376779143386053,996117.8,0.95,0.323332,0.431917,NA,NA,NA,NA,NA,NA,NA
"b[11] 10010",0.585244224474204,0.585077,0.582372310890406,992811.2,0.95,0.478517,0.692855,NA,NA,NA,NA,NA,NA,NA
"b[12] 10011",0.773908384391925,0.773985,0.776084998636984,1000008,0.95,0.705404,0.842654,NA,NA,NA,NA,NA,NA,NA
"b[13] 10012",0.685561273278814,0.68565,0.686407321532647,1000008,0.95,0.61835,0.753881,NA,NA,NA,NA,NA,NA,NA
"b[14] 10013",0.62557272376221,0.6252105,0.622825289101715,1000008,0.95,0.522773,0.729777,NA,NA,NA,NA,NA,NA,NA
"b[15] 10014",0.868752408098735,0.868707,0.869150455891441,1000008,0.95,0.796868,0.940512,NA,NA,NA,NA,NA,NA,NA
"b[16] 10016",0.565356011535908,0.565373,0.567947102870157,994296.4,0.95,0.502911,0.628564,NA,NA,NA,NA,NA,NA,NA
"b[17] 10017",0.698142714674283,0.69848,0.696452101262218,1000008,0.95,0.581154,0.815609,NA,NA,NA,NA,NA,NA,NA
"b[18] 10018",0.677661251885985,0.6775525,0.677597773656276,1000008,0.95,0.577377,0.780023,NA,NA,NA,NA,NA,NA,NA
"b[19] 10019",0.609889401722786,0.6098095,0.606572967427088,1000008,0.95,0.541354,0.678703,NA,NA,NA,NA,NA,NA,NA
"b[20] 10020",0.452451156942441,0.452471,0.454561576069448,1000008,0.95,0.194835,0.712137,NA,NA,NA,NA,NA,NA,NA
"b[21] 10021",0.412406917751658,0.412506,0.411473501999912,1000008,0.95,0.334918,0.489456,NA,NA,NA,NA,NA,NA,NA
"b[22] 10022",0.671035495204038,0.670725,0.669523377582823,995796.3,0.95,0.558901,0.784622,NA,NA,NA,NA,NA,NA,NA
"b[23] 10023",0.750949179134567,0.750799,0.748411309194073,1000008,0.95,0.65957,0.842581,NA,NA,NA,NA,NA,NA,NA
"b[24] 10024",0.593251565726474,0.593327,0.59380340814391,1000008,0.95,0.521611,0.665296,NA,NA,NA,NA,NA,NA,NA
"b[25] 10025",0.238368630797954,0.238318,0.235741743209187,1000008,0.95,0.177268,0.300338,NA,NA,NA,NA,NA,NA,NA
"b[26] 10026",0.155762450566136,0.155701,0.15605680472246,1000008,0.95,0.0880799,0.223296,NA,NA,NA,NA,NA,NA,NA
"b[27] 10027",0.162138164530984,0.162147,0.161961037225241,1000008,0.95,0.102242,0.221492,NA,NA,NA,NA,NA,NA,NA
"b[28] 10028",0.515426275201798,0.515453,0.515350182368615,1000008,0.95,0.421406,0.61009,NA,NA,NA,NA,NA,NA,NA
"b[29] 10029",0.113713660846241,0.113714,0.114534778474725,1000008,0.95,0.0455847,0.181209,NA,NA,NA,NA,NA,NA,NA
"b[30] 10030",0.131911472744933,0.131897,0.129658024731938,1000008,0.95,0.0286102,0.235085,NA,NA,NA,NA,NA,NA,NA
"b[31] 10031",-0.0986745417692415,-0.09876665,-0.0993766313183308,1000008,0.95,-0.154995,-0.041756,NA,NA,NA,NA,NA,NA,NA
"b[32] 10032",-0.169387920681969,-0.169464,-0.168264832590716,1000008,0.95,-0.247944,-0.090106,NA,NA,NA,NA,NA,NA,NA
"b[33] 10033",-0.191376230913305,-0.191644,-0.189003444082179,1000008,0.95,-0.280491,-0.100798,NA,NA,NA,NA,NA,NA,NA
